Shelf No.	Loc.ID	Name	Size	UOM	UPC-Barcode	Stockcode	Facings
Shelf 1	1	ARIZONA ARNOLD PALMER HALF & HALF STRAWB... 	23.00	OZ	v(g13008*RNPNKm(W	7635	1
Shelf 1	2	ARIZONA ARNOLD PALMER HALF & HALF TEA/LEM... 	23.00	OZ	v(g13008*RLTNKm(W	7616	1
Shelf 1	3	ARIZONA RX ENERGY 	23.00	OZ	v(g13008*RLSOPt(y	7614	1
Shelf 1	4	ARIZONA SWEET TEA CAN 	23.00	OZ	v(g13008*RLRRLl(V	7612	1
Shelf 1	5	ARIZONA RASPBERRY TEA 	23.00	OZ	v(g13008*RNPORk(U	7611	1
Shelf 1	6	ARIZONA GREEN TEA 	23.00	OZ	v(g13008*RLPMQr(w	7610	1
Shelf 1	7	ARIZONA MUCHO MANGO TALL BOY 20 OZ 	20.00	OZ	v(g13008*RPLNNn(X	924835	1
Shelf 1	8	LIPTON GREEN TEA W/CITRUS 	20.00	OZ	U(a12000*KLMRPo(Y	PEPSI	1
Shelf 1	9	LIPTON PURE LEAF RASPBERRY TEA 	18.50	OZ	U(a12000*MSQMMn(X	PEPSI	1
Shelf 2	10	KWIKADE ARCTIC FREEZE 	12.00	OZ	U(a39779*LLLSRr(w	111021	1
Shelf 2	11	KWIKADE FRT PNCH 	12.00	OZ	U(a39779*LLLPOt(y	111012	1
Shelf 2	12	KWIKADE GRAPE 	12.00	OZ	U(a39779*LLLPNm(W	111011	1
Shelf 2	13	CLUB HOUSE FRUIT PUNCH 10 OZ 	24.00	CT	x(i54340*KKOMNl(V	925648	1
Shelf 2	14	CLUB HOUSE BLUE RASPBERRY 10 OZ 	24.00	CT	x(i54340*KKOMPp(u	925651	1
Shelf 2	15	GOOD 2 GROW FRUIT PUNCH 	6.00	OZ	x(i83990*QPLMKp(u	921703	1
Shelf 2	16	GOOD 2 GROW APPLE JUICE 	6.00	OZ	x(i83990*QQLKKq(v	921727	1
Shelf 2	17	LIPTON PURE LEAF TEA SWEETENED/NO LEMON 	18.50	OZ	U(a12000*MSQLTn(X	PEPSI	2
Shelf 2	18	LIPTON PURE LEAF TEA W/LEMON 	18.50	OZ	U(a12000*MSQLSq(v	PEPSI	1
Shelf 3	19	NATURE'S TOUCH 50/50 LEMONADE TEA 	20.00	OZ	U(a39779*LLMMNm(W	111133	1
Shelf 3	20	NATURE'S TOUCH PEACH TEA LEMONADE 	20.00	OZ	U(a39779*LLMRRp(u	111139	1
Shelf 3	21	NATURE'S TOUCH PEACH TEA 	20.00	OZ	U(a39779*LLMRNr(w	111138	1
Shelf 3	22	NATURE'S TOUCH RASPBERRY TEA 	20.00	OZ	U(a39779*LLMQSn(X	111135	1
Shelf 3	23	NATURE'S TOUCH POMEGRANATE ACAI TEA 	20.00	OZ	U(a39779*LLMMLs(x	111131	1
Shelf 3	24	NT SWEET TEA 	20.00	OZ	U(a39779*LLMSLm(W	921127	1
Shelf 3	25	NATURE'S TOUCH LEMONADE 	20.00	OZ	U(a39779*LLMLQo(Y	111128	1
Shelf 3	26	NATURE'S TOUCH RASPBERRY LEMONADE 	20.00	OZ	U(a39779*LLMRLn(X	111137	1
Shelf 3	27	PURE LEAF HERBAL TEA PEACH HIBISCUS 18.5 OZ 	18.50	OZ	U(a12000*LSLKPo(Y	PEPSI	1
Shelf 3	28	PURE LEAF HERBAL TEA CHERRY HIBISCUS 18.5 OZ 	18.50	OZ	U(a12000*LSKTOl(V	PEPSI	1
Shelf 4	29	SNAPPLE KIWI STRAWBERRY 	16.00	OZ	U(a76183*KKNLKr(w	KDB	1
Shelf 4	30	SNAPPLE ALL NATURAL APPLE 	16.00	OZ	U(a76183*KKNMSm(W	KDP	1
Shelf 4	31	EVERFRESH ORANGE JUICE 	16.00	OZ	U(a76737*LMMNKs(x	20893	1
Shelf 4	32	EVERFRESH APPLE JUICE 	16.00	OZ	U(a76737*LMMNMm(W	20892	1
Shelf 4	33	STARBUCKS NITRO BLACK 	9.60	OZ	U(a12000*LTMSQt(y	PEPSI	1
Shelf 4	34	STARBUCKS NITRO SWEET CREAM 	9.60	OZ	U(a12000*LTMTKq(v	PEPSI	1
Shelf 4	35	KEVITA MASTER BREW KOMBUCHA PINEAPPLE PE... 	15.20	OZ	x(i53311*KKNQKk(U	924164	1
Shelf 4	36	KEVITA MBK TART CHERRY 15.2 OZ 	15.20	OZ	x(i53311*KKNQLr(w	925175	1
Shelf 4	37	LIPTON PURE LEAF UNSWEETENED 	18.50	OZ	U(a12000*MSQMKt(y	PEPSI	1
Shelf 5	38	SIMPLY CRANBERRY JUICE 	11.50	OZ	U(a25000*KKKNKk(U	4026	1
Shelf 5	39	SIMPLY RASPBERRY LEMONADE JUICE 	11.50	OZ	U(a25000*KKKLSs(x	4024	1
Shelf 5	40	SIMPLY LEMONADE JUICE 	11.50	OZ	U(a25000*KKKMLs(x	4023	1
Shelf 5	41	SIMPLY ORANGE JUICE - PULP FREE 	11.50	OZ	U(a25000*KKKMOt(y	4022	1
Shelf 5	42	NAKED GREEN MACHINE 	15.20	OZ	U(a82592*RMKLPn(X	4016	1
Shelf 5	43	NAKED JUICE STRAWBRY BANA 	15.20	OZ	U(a82592*LTOLPm(W	4014	1
Shelf 5	44	NAKED JUICE BLUE MACHINE 	15.20	OZ	U(a82592*RMRLPm(W	4012	1
Shelf 5	45	V8 VEGTABLE JUICE 	12.00	OZ	U(a51000*LNSKNn(X	3655	1
Shelf 5	46	MONSTER JAVA MEAN BEAN 	15.00	OZ	U(a70847*SLMQKt(y	COKE	1
Shelf 5	47	MONSTER JAVA LOCA MOCHA 	15.00	OZ	U(a70847*SLMRLp(u	COKE	1
Shelf 6	48	STARBUCKS ESPRESSO & CREAM DOUBLE SHOP ... 	6.50	OZ	U(a12000*KKLRRm(W	PEPSI	1
Shelf 6	49	STARBUCKS DBLSHT MOCHA 	15.00	OZ	U(a12000*KMSOPs(x	PEPSI	1
Shelf 6	50	STARBUCKS DBLSHT VANILLA 	15.00	OZ	U(a12000*KMSOTq(v	PEPSI	1
Shelf 6	51	FRAPPUCCINO MOCHA 	13.70	OZ	U(a12000*KKOPMk(U	PEPSI	1
Shelf 6	52	FRAPPUCCINO VANILLA 	13.70	OZ	U(a12000*SLNNLn(X	PEPSI	1
Shelf 6	53	STARBUCKS FRAPPUCCINO CARAMEL 	13.70	OZ	U(a12000*KLQRMl(V	PEPSI	1
Shelf 6	54	NT KG CAPP DOUBLE SHOT FR VANILLA PINT 	16.00	OZ	U(a39779*LKTTTr(w	921655	1
Shelf 6	55	KARUBA GOLD CAPPUCCINO WHITE CHOCOLATE ... 	16.00	OZ	U(a39779*KKKSOn(X	921034	1
Shelf 6	56	KARUBA GOLD MOCHA CAPPUCCINO 	16.00	OZ	U(a39779*LLMRQs(x	111216	1
Shelf 6	57	CHINO ICED CAPP FVAN 	16.00	OZ	U(a39779*LLLKKq(v	111005	1
Shelf 7	58	MUSCLE MILK PRO 40 KNOCKOUT CHOCOLATE 	14.00	OZ	x(i76063*KKMSKq(v	PEPSI	1
Shelf 7	59	MUSCLE MILK PRO SERIES INTENSE VANILLA 	14.00	OZ	x(i76063*KKMSLn(X	PEPSI	1
Shelf 7	60	MUSCLE MILK CHOCOLATE 	14.00	OZ	x(i76063*KKMKLl(V	PEPSI	1
