DOOR,LOC MCLANE,Desc_A,UNIT UPC,PACK,DESCRIPTION,Size,UOM,FACINGS
1/1,1 DSD,124692.0,1200015116.0,12.0,KICKSTART MIDNIGHT GRAPE 16OZ,16.0,OZ,1.0
1/1,2 DSD,110488.0,1200004300.0,12.0,KICKSTART BLK CHRY 16OZ,16.0,OZ,1.0
1/1,3 DSD,103526.0,1200011044.0,12.0,KICKSTART ORG CITRUS 16OZ,16.0,OZ,2.0
1/1,4 DSD,103525.0,1200011046.0,12.0,KICKSTART FRUIT PUNCH 16OZ,16.0,OZ,1.0
1/1,5 DSD,144493.0,1200018032.0,12.0,KICKSTART PINEAPPLE ORANGE MANGO,16.0,OZ,2.0
1/1,6 DSD,84204.0,1200002721.0,24.0,MT DEW CAN 16OZ,16.0,OZ,2.0
1/2,1 DSD,158427.0,1200020603.0,24.0,PEPSI MANGO ZERO,20.0,OZ,1.0
1/2,2 DSD,158426.0,1200018420.0,24.0,PEPSI MANGO,20.0,OZ,1.0
1/2,3 DSD,138606.0,1200017238.0,24.0,PEPSI WLD CHRY DT 20OZ,20.0,OZ,1.0
1/2,4 DSD,20213.0,1200000559.0,24.0,PEPSI WLD CHRY 20OZ,20.0,OZ,2.0
1/2,5 DSD,20229.0,1200000129.0,24.0,PEPSI 20OZ,20.0,OZ,3.0
1/3,1 DSD,20214.0,1200000134.0,24.0,MT DEW DT 20OZ,20.0,OZ,5.0
1/3,2 DSD,138603.0,1200017174.0,24.0,PEPSI DT 20OZNEW,20.0,OZ,3.0
1/4,1 DSD,20212.0,1200000131.0,24.0,MT DEW 20OZ,20.0,OZ,8.0
1/5,1 DSD,148869.0,1200019143.0,24.0,MT DEW ZERO 20OZ,20.0,OZ,2.0
1/5,2 DSD,60808.0,1200002862.0,24.0,MT DEW VOLTAGE 20OZ,20.0,OZ,1.0
1/5,3 DSD,30400.0,1200081131.0,24.0,MT DEW LIVEWIRE 20OZ,20.0,OZ,1.0
1/5,4 DSD,156870.0,1200020505.0,24.0,MT DEW MAJOR MELON ZERO 20OZ,20.0,OZ,1.0
1/5,5 DSD,156869.0,1200020495.0,24.0,MT DEW MAJOR MELON 20OZ,20.0,OZ,1.0
1/5,6 DSD,20249.0,1200000224.0,24.0,MT DEW CODE RED 20OZ,20.0,OZ,2.0
1/6,1 DSD,20301.0,1200000362.0,15.0,MOUNTAIN DEW CODE RD,1.0,LTR,1.0
1/6,2 DSD,20315.0,1200000318.0,15.0,MT DEW DT 1LT,1.0,LTR,2.0
1/6,3 DSD,20316.0,1200000297.0,15.0,MT DEW 1LT,1.0,LTR,4.0
2/1,1 DSD,108876.0,7800000586.0,24.0,DR PEPPER CAN 16OZ,16.0,OZ,1.0
2/1,2 DSD,84206.0,1200003028.0,24.0,PEPSI CAN 16OZ,16.0,OZ,1.0
2/1,3 DSD,122557.0,4900006273.0,24.0,SURGE CAN,16.0,OZ,1.0
2/1,4 DSD,108872.0,4900005342.0,24.0,COKE DIET CAN,16.0,OZ,2.0
2/1,5 DSD,108871.0,4900005341.0,24.0,COCA COLA CAN,16.0,OZ,2.0
2/1,6 DSD,151778.0,8806705706.0,12.0,1919 ROOT BEER,16.0,OZ,2.0
2/2,1 DSD,60786.0,4900004754.0,24.0,COKE CHRY ZERO 20OZ,20.0,OZ,1.0
2/2,2 DSD,20222.0,4900001801.0,24.0,COKE CHRY 20OZ,20.0,OZ,1.0
2/2,3 DSD,43892.0,4900004086.0,24.0,COKE ZERO 20OZ,20.0,OZ,1.0
2/2,4 DSD,144272.0,4900007891.0,24.0,COKE ORANGE VANILLA 20OZ,20.0,OZ,1.0
2/2,5 DSD,20217.0,4900000044.0,24.0,COCA COLA CLASSIC,20.0,OZ,4.0
2/3,1 DSD,20220.0,4900001679.0,24.0,MELLO YELLO 20OZ,20.0,OZ,1.0
2/3,2 DSD,20270.0,4900001916.0,24.0,FANTA ORANGE 20OZ,20.0,OZ,1.0
2/3,3 DSD,20223.0,4900000764.0,24.0,SPRITE,20.0,OZ,2.0
2/3,4 DSD,20219.0,4900000046.0,24.0,COKE CF DT 20OZ,20.0,OZ,1.0
2/3,5 DSD,20218.0,4900000045.0,24.0,COKE DIET,20.0,OZ,3.0
2/4,1 DSD,20248.0,7800011340.0,24.0,SUNKIST ORAN 20OZ,20.0,OZ,1.0
2/4,2 DSD,149886.0,7800003351.0,24.0,DR PEPPER CREAM SODA 20OZ,20.0,OZ,1.0
2/4,3 DSD,159065.0,7800003530.0,24.0,DR PEPPER ZERO,20.0,OZ,1.0
2/4,4 DSD,20254.0,7800008340.0,24.0,DR PEPPER DT 20OZ,20.0,OZ,2.0
2/4,5 DSD,20232.0,7800008240.0,24.0,DR PEPPER 20OZ,20.0,OZ,3.0
2/5,1 DSD,96709.0,7800001352.0,24.0,CRUSH GRAPE NEW 20OZ,20.0,OZ,1.0
2/5,2 DSD,96712.0,7800001369.0,24.0,CRUSH STRAWBERRY,20.0,OZ,1.0
2/5,3 DSD,96708.0,7800001328.0,24.0,CRUSH ORG NEW 20OZ,20.0,OZ,1.0
2/5,4 DSD,20210.0,7800015240.0,24.0,CAN DRY GINGER ALE 20OZ,20.0,OZ,1.0
2/5,5 DSD,20233.0,7800000161.0,24.0,7UP 20OZ,20.0,OZ,1.0
2/5,6 DSD,20242.0,7800005440.0,24.0,A&W CR SDA 20OZ,20.0,OZ,1.0
2/5,7 DSD,20241.0,7800005340.0,24.0,A&W  RT BEER DT 20OZ,20.0,OZ,1.0
2/5,8 DSD,20240.0,7800005240.0,24.0,A&W RT BEER 20OZ,20.0,OZ,1.0
2/6,1 DSD,138602.0,1200017175.0,15.0,PEPSI DT 1LTNEW,1.0,LTR,1.0
2/6,2 DSD,20308.0,1200000294.0,15.0,PEPSI 1LT,1.0,LTR,1.0
2/6,3 DSD,20307.0,7800008245.0,15.0,DR PEPPER 1LT,1.0,LTR,1.0
2/6,4 DSD,20312.0,4900000524.0,12.0,COKE DT 1LT,1.0,LTR,1.0
2/6,5 DSD,20311.0,4900000522.0,24.0,COKE 1LT,1.0,LTR,2.0
DISCO,1 DSD,137788.0,1200017079.0,12.0,KICKSTART ORIG DEW 16OZ,16.0,OZ,1.0
DISCO,2 DSD,132086.0,1200016215.0,12.0,KICKSTART MANGO LIME 16OZ,16.0,OZ,1.0
DISCO,3 DSD,60785.0,1200001880.0,24.0,PEPSI DT MAX 20OZ,20.0,OZ,1.0
DISCO,4 DSD,144449.0,1200018375.0,24.0,PEPSI VANILLA 20OZ,20.0,OZ,1.0
DISCO,5 DSD,144476.0,7800003024.0,24.0,CANADA DRY GINGER ALE LEMONADE,20.0,OZ,1.0
NEW,1 DSD,158426.0,1200018420.0,24.0,PEPSI MANGO,20.0,OZ,1.0
NEW,2 DSD,158427.0,1200020603.0,24.0,PEPSI MANGO ZERO,20.0,OZ,1.0
NEW,3 DSD,159065.0,7800003530.0,24.0,DR PEPPER ZERO,20.0,OZ,1.0
NEW,4 DSD,151778.0,8806705706.0,12.0,1919 ROOT BEER,16.0,OZ,1.0
